kanji|meaning|onyomi|kunyomi|lesson|bonus
一|one|イチ; イッ|ひと(つ)|3|0
二|two|ニ|ふた|3|0
三|three|サン|みっ|3|0
四|four|シ|よん; よ; よっ|3|0
五|five|ゴ|いつ|3|0
六|six|ロク; ロッ|むっ|3|0
七|seven|シチ|なな|3|0
八|eight|ハチ; ハッ|やっ|3|0
九|nine|キュウ; ク|ここの|3|0
十|ten|ジュウ; ジュッ; ジッ|とお|3|0
百|hundred|ヒャク; ビャク; ピャク||3|0
千|thousand|セン; ゼン||3|0
万|ten thousand|マン||3|0
円|yen; circle|エン|まる|3|0
時|time|ジ|とき|3|0
日|day; sun|ニ; ニチ; ニッ|ひ; び; か|4|0
本|book; basis|ホン|もと|4|0
人|person|ジン; ニン|ひと|4|0
月|month; moon|ゲツ; ガツ|つき|4|0
火|fire|カ|ひ; び|4|0
水|water|スイ|みず|4|0
木|tree|モク|き|4|0
金|gold; money|キン|かね|4|0
土|soil|ド; ト|つち|4|0
曜|weekday|(ニチ)ヨウ(ビ)||4|0
上|up|ジョウ|うえ; のぼ|4|0
下|down|カ|した; くだ|4|0
中|middle|チュウ; ジュウ|なか|4|0
半|half|ハン||4|0
山|mountain|サン|やま|5|0
川|river||かわ; がわ|5|0
元|origin|ゲン; ガン|もと|5|0
気|spirit|(ゲン)キ||5|0
天|heaven|テン(キ)||5|0
私|I; private|シ|わたし|5|0
今|now|コン|いま|5|0
田|rice field||た(んぼ); だ|5|0
女|woman|ジョ|おんな|5|0
男|man|ダン|おとこ|5|0
見|to see|ケン|み(る)|5|0
行|to go|コウ; ギョウ|い(く)|5|0
食|to eat|ショク|た(べる)|5|0
飲|to drink|イン|の(む)|5|0
林|woods|リン|はやし|5|1
森|forest|シン|もり|5|1
石|stone|セキ; コク|いし|5|1
竹|bamboo|チク|たけ|5|1
東|east|トウ|ひがし|6|0
西|west|セイ; サイ|にし|6|0
南|south|ナン|みなみ|6|0
北|north|ホク; ホッ|きた|6|0
口|mouth|コウ|くち; ぐち|6|0
出|to exit|シュッ; シュツ|で(る); だ(す)|6|0
右|right|ウ; ユウ|みぎ|6|0
左|left|サ|ひだり|6|0
分|minute; to divide|フン; ブン; プン|わ(ける)|6|0
先|ahead|セン|さき|6|0
生|birth|セイ; ショウ|う(まれる)|6|0
大|big|ダイ; タイ|おお(きい)|6|0
学|learning|ガク; ガッ|まな(ぶ)|6|0
外|outside|ガイ|そと|6|0
