word|meaning|reading|lesson|bonus
一|one|いち|3|0
一つ|one|ひと;つ|3|0
一分|one minute|いっ;ぷん|3|0
一時|one o'clock|いち;じ|3|0
一月|January|いち;がつ|3|0
一歳|one year old|いっ;さい|3|0
一年生|first-year student|いち;ねん;せい|3|0
二|two|に|3|0
二つ|two|ふた;つ|3|0
二分|two minutes|に;ふん|3|0
二時|two o'clock|に;じ|3|0
二日間|two days|ふつ;か;かん|3|0
二月|February|に;がつ|3|0
二年生|second-year student|に;ねん;せい|3|0
三|three|さん|3|0
三つ|three|みっ;つ|3|0
三分|three minutes|さん;ぷん|3|0
三時|three o'clock|さん;じ|3|0
三日|three days|みっ;か|3|0
三月|March|さん;がつ|3|0
三年生|third-year student|さん;ねん;せい|3|0
四|four|よん|3|0
四つ|four|よっ;つ|3|0
四分|four minutes|よん;ふん|3|0
四時|four o'clock|よん;じ|3|0
四日|four days|よっ;か|3|0
四月|April|し;がつ|3|0
四年生|fourth-year student|よん;ねん;せい|3|0
五|five|ご|3|0
五つ|five|いつ;つ|3|0
五分|five minutes|ご;ふん|3|0
五時|five o'clock|ご;じ|3|0
五年生|fifth-year student|ご;ねん;せい|3|0
五歳|five years old|ご;さい|3|0
五日|five days|いつ;か|3|0
五月|May|ご;がつ|3|0
六|six|ろく|3|0
六つ|six|むっ;つ|3|0
六分|six minutes|ろっ;ぷん|3|0
六時|six o'clock|ろく;じ|3|0
六日|six days|むい;か|3|0
六月|June|ろく;がつ|3|0
七|seven|しち|3|0
七つ|seven|なな;つ|3|0
七分|seven minutes|なな;ふん|3|0
七時|seven o'clock|しち;じ|3|0
七日|seven days|なの;か|3|0
七月|July|しち;がつ|3|0
八|eight|はち|3|0
八つ|eight|やっ;つ|3|0
八分|eight minutes|はっ;ぷん|3|0
八時|eight o'clock|はち;じ|3|0
八日|eight days|よう;か|3|0
八月|August|はち;がつ|3|0
九|nine|きゅう|3|0
九つ|nine|ここの;つ|3|0
九分|nine minutes|きゅう;ふん|3|0
九時|nine o'clock|く;じ|3|0
九日|nine days|ここの;か|3|0
九月|September|く;がつ|3|0
十|ten|じゅう|3|0
十分|ten minutes|じゅっ;ぷん|3|0
十時|ten o'clock|じゅう;じ|3|0
十日|ten days|とお;か|3|0
十月|October|じゅう;がつ|3|0
十一月|November|じゅう;いち;がつ|3|0
十二月|December|じゅう;に;がつ|3|0
百|one hundred|ひゃく|3|0
二百|two hundred|に;ひゃく|3|0
三百|three hundred|さん;びゃく|3|0
四百|four hundred|よん;ひゃく|3|0
五百|five hundred|ご;ひゃく|3|0
六百|six hundred|ろっ;ぴゃく|3|0
七百|seven hundred|なな;ひゃく|3|0
八百|eight hundred|はっ;ぴゃく|3|0
九百|nine hundred|きゅう;ひゃく|3|0
千|one thousand|せん|3|0
二千|two thousand|に;せん|3|0
三千|three thousand|さん;ぜん|3|0
四千|four thousand|よん;せん|3|0
五千|five thousand|ご;せん|3|0
六千|six thousand|ろく;せん|3|0
七千|seven thousand|なな;せん|3|0
八千|eight thousand|はっ;せん|3|0
九千|nine thousand|きゅう;せん|3|0
一万|ten thousand|いち;まん|3|0
二万|twenty thousand|に;まん|3|0
三万|thirty thousand|さん;まん|3|0
四万|forty thousand|よん;まん|3|0
五万|fifty thousand|ご;まん|3|0
六万|sixty thousand|ろく;まん|3|0
七万|seventy thousand|なな;まん|3|0
八万|eighty thousand|はち;まん|3|0
九万|ninety thousand|きゅう;まん|3|0
十万|hundred thousand|じゅう;まん|3|0
百万|one million|ひゃく;まん|3|0
一千万|ten million|いっ;せん;まん|3|0
百円|one hundred yen|ひゃく;えん|3|0
円|yen;circle|えん|3|0
子供の時|in one's childhood|こ;ども;の;とき|3|0
時々|sometimes|とき;どき|3|0
時計|clock;watch|と;けい|3|0
日本|Japan|に;ほん|4|0
日曜日|Sunday|にち;よう;び|4|0
毎日|every day|まい;にち|4|0
母の日|Mother's Day|はは;の;ひ|4|0
日記|diary|にっ;き|4|0
本|book|ほん|4|0
日本語|Japanese language|に;ほん;ご|4|0
山本さん|Mr./Ms. Yamamoto|やま;もと;さ;ん|4|0
日本人|Japanese people|に;ほん;じん|4|0
一人で|alone|ひと;り;で|4|0
この人|this person|こ;の;ひと|4|0
三人|three people|さん;にん|4|0
月曜日|Monday|げつ;よう;び|4|0
月|moon|つき|4|0
今月|this month|こん;げつ|4|0
一か月|one month|いっ;か;げつ|4|0
火曜日|Tuesday|か;よう;び|4|0
火|fire|ひ|4|0
火山|volcano|か;ざん|4|0
花火|fireworks|はな;び|4|0
火星|Mars|か;せい|4|0
水曜日|Wednesday|すい;よう;び|4|0
水|water|みず|4|0
水泳|swimming|すい;えい|4|0
水道|water supply|すい;どう|4|0
水着|bathing suit|みず;ぎ|4|0
木曜日|Thursday|もく;よう;び|4|0
木|tree|き|4|0
木村さん|Mr./Ms. Kimura|き;むら;さ;ん|4|0
金曜日|Friday|きん;よう;び|4|0
お金|money|お;かね|4|0
料金|charge|りょう;きん|4|0
お金持ち|rich person|お;かね;も;ち|4|0
土曜日|Saturday|ど;よう;び|4|0
土|soil|つち|4|0
土地|land|と;ち|4|0
粘土|clay|ねん;ど|4|0
曜日|day of the week|よう;び|4|0
上|top; above|うえ|4|0
上手な|good at|じょう;ず;な|4|0
屋上|rooftop|おく;じょう|4|0
上る|to go up|のぼ;る|4|0
下|under|した|4|0
地下鉄|subway|ち;か;てつ|4|0
下手な|poor at|へ;た;な|4|0
下さい|Please give/do ...|くだ;さ;い|4|0
中|inside|なか|4|0
中国|China|ちゅう;ごく|4|0
中学|junior high school|ちゅう;がく|4|0
一年中|all year around|いち;ねん;じゅう|4|0
三時半|half past three|さん;じ;はん|4|0
半分|half|はん;ぶん|4|0
半年|half a year|はん;とし|4|0
半額|half price|はん;がく|4|0
山|mountain|やま|5|0
山川さん|Mr./Ms. Yamakawa|やま;かわ;さ;ん|5|0
富士山|Mt. Fuji|ふ;じ;さん|5|0
川|river|かわ|5|0
小川さん|Mr./Ms. Ogawa|お;がわ;さ;ん|5|0
元気な|fine|げん;き;な|5|0
元日|the first day of the year|がん;じつ|5|0
地元|local|じ;もと|5|0
天気|weather|てん;き|5|0
電気|electricity|でん;き|5|0
気持ち|feeling|き;も;ち|5|0
人気|popularity|にん;き|5|0
天国|heaven|てん;ごく|5|0
天皇|Japanese emperor|てん;のう|5|0
天才|genius|てん;さい|5|0
私|I|わたし|5|0
私立大学|private university|し;りつ;だい;がく|5|0
私鉄|private railroad|し;てつ|5|0
今|now|いま|5|0
今日|today|きょ;う|5|0
今晩|tonight|こん;ばん|5|0
今年|this year|こと;し|5|0
田中さん|Mr./Ms. Tanaka|た;なか;さ;ん|5|0
山田さん|Mr./Ms. Yamada|やま;だ;さ;ん|5|0
田んぼ|rice field|た;ん;ぼ|5|0
女の人|woman|おんな;の;ひと|5|0
女性|woman|じょ;せい|5|0
女の子|girl|おんな;の;こ|5|0
長女|the eldest daughter|ちょう;じょ|5|0
男の人|man|おとこ;の;ひと|5|0
男性|man|だん;せい|5|0
男の子|boy|おとこ;の;こ|5|0
男子学生|male student|だん;し;がく;せい|5|0
見る|to see|み;る|5|0
見物|sightseeing|けん;ぶつ|5|0
花見|flower viewing|はな;み|5|0
意見|opinion|い;けん|5|0
行く|to go|い;く|5|0
銀行|bank|ぎん;こう|5|0
一行目|first line|いち;ぎょう;め|5|0
旅行|travel|りょ;こう|5|0
食べる|to eat|た;べ;る|5|0
食べ物|food|た;べ;もの|5|0
食堂|cafeteria|しょく;どう|5|0
食事|meal|しょく;じ|5|0
朝食|breakfast|ちょう;しょく|5|0
飲む|to drink|の;む|5|0
飲み物|drink|の;み;もの|5|0
飲酒運転|drunken driving|いん;しゅ;うん;てん|5|0
東|east|ひがし|6|0
東口|east exit|ひがし;ぐち|6|0
東京|Tokyo|とう;きょう|6|0
関東|Kanto area|かん;とう|6|0
東洋|the East|とう;よう|6|0
西|west|にし|6|0
西口|west exit|にし;ぐち|6|0
北西|northwest|ほく;せい|6|0
関西|Kansai area|かん;さい|6|0
西洋|the West|せい;よう|6|0
南|south|みなみ|6|0
南口|south exit|みなみ;ぐち|6|0
南東|southeast|なん;とう|6|0
南極|Antarctica|なん;きょく|6|0
東南アジア|Southeast Asia|とう;なん;ア;ジ;ア|6|0
北|north|きた|6|0
北口|north exit|きた;ぐち|6|0
東北|Tohoku area|とう;ほく|6|0
北極|North Pole|ほっ;きょく|6|0
北海道|Hokkaido|ほっ;かい;どう|6|0
口|mouth|くち|6|0
人口|population|じん;こう|6|0
入り口|entrance|い;り;ぐち|6|0
入口|entrance|いり;ぐち|6|0
出る|to exit|で;る|6|0
出口|exit|で;ぐち|6|0
出す|to take something out|だ;す|6|0
出席|attendance|しゅっ;せき|6|0
輸出|export|ゆ;しゅつ|6|0
右|right|みぎ|6|0
右折|right turn|う;せつ|6|0
左右|right and left|さ;ゆう|6|0
右手|right hand|みぎ;て|6|0
右側|right side|みぎ;がわ|6|0
左|left|ひだり|6|0
左折|left turn|さ;せつ|6|0
左手|left hand|ひだり;て|6|0
左利き|left-handed|ひだり;き;き|6|0
自分|oneself|じ;ぶん|6|0
分ける|to divide|わ;け;る|6|0
先生|teacher|せん;せい|6|0
先週|last week|せん;しゅう|6|0
先に|ahead|さき;に|6|0
先月|last month|せん;げつ|6|0
先輩|senior member|せん;ぱい|6|0
学生|student|がく;せい|6|0
生まれる|to be born|う;ま;れ;る|6|0
一生に一度|once in a life time|いっ;しょう;に;いち;ど|6|0
大学生|college student|だい;がく;せい|6|0
大きい|big|おお;き;い|6|0
大変な|tough|たい;へん;な|6|0
大人|adult|おと;な|6|0
大使館|embassy|たい;し;かん|6|0
大学|university|だい;がく|6|0
学校|school|がっ;こう|6|0
学ぶ|to study|まな;ぶ|6|0
学部|department; faculty|がく;ぶ|6|0
外国|foreign country|がい;こく|6|0
外国人|foreigner|がい;こく;じん|6|0
外|outside|そと|6|0
海外|overseas|かい;がい|6|0
国|country|くに|6|0
韓国|South Korea|かん;こく|6|0
国会|the Diet|こっ;かい|6|0
京子|Kyoko|きょう;こ|7|0
京都|Kyoto|きょう;と|7|0
上京する|to go to the capital|じょう;きょう;す;る|7|0
子ども|child|こ;ど;も|7|0
電子辞書|electronic dictionary|でん;し;じ;しょ|7|0
小さい|small|ちい;さ;い|7|0
小学校|elementary school|しょう;がっ;こう|7|0
小学生|elementary school student|しょう;がく;せい|7|0
会う|to meet|あ;う|7|0
会社|company|かい;しゃ|7|0
会社員|office worker|かい;しゃ;いん|7|0
会議|meeting|かい;ぎ|7|0
教会|church|きょう;かい|7|0
神社|shrine|じん;じゃ|7|0
社会|society|しゃ;かい|7|0
入社|entry to a company|にゅう;しゃ|7|0
父|father|ちち|7|0
お父さん|father|お;とう;さ;ん|7|0
父母|father and mother|ふ;ぼ|7|0
祖父|grandfather|そ;ふ|7|0
母|mother|はは|7|0
お母さん|mother|お;かあ;さ;ん|7|0
母語|mother tongue|ぼ;ご|7|0
祖母|grandmother|そ;ぼ|7|0
高い|expensive; high|たか;い|7|0
高校|high school|こう;こう|7|0
高校生|high school student|こう;こう;せい|7|0
最高|the best|さい;こう|7|0
中学校|junior high school|ちゅう;がっ;こう|7|0
毎週|every week|まい;しゅう|7|0
